date,contract,contract_month,session,open,high,low,last,change,change_percent,volume,settlement_price,open_interest,best_bid,best_ask,historical_high,historical_low
2020-03-25,TX,202012,After-Hours,8688,8848,8658,8848,240,2.79,70,,,8853,8860,11688,7655
2020-03-25,TX,202103,Regular,8739,8942,8722,8890,365,4.28,52,8890,59,8890,8908,8942,7591
2020-03-25,TX,202103,After-Hours,8598,8775,8598,8775,250,2.93,29,,,8777,8787,8775,7591
2020-03-26,TX,202004,Regular,9679,9690,9426,9638,53,0.55,190488,9631,81036,9638,9640,12103,8268
2020-03-26,TX,202004,After-Hours,9639,9788,9516,9672,87,0.91,161122,,,9672,9673,12103,8268
2020-03-26,TX,202005,Regular,9628,9628,9362,9575,57,0.6,2061,9565,5341,9572,9576,11776,8212
2020-03-26,TX,202005,After-Hours,9619,9720,9460,9607,89,0.94,762,,,9606,9610,11776,8212
2020-03-26,TX,202006,Regular,9516,9536,9290,9496,52,0.55,1084,9495,5214,9493,9496,12115,8150
2020-03-26,TX,202006,After-Hours,9481,9637,9375,9520,76,0.8,229,,,9526,9531,12115,8150
2020-03-26,TX,202009,Regular,9141,9141,8960,9116,34,0.37,37,9109,1019,9115,9121,11739,7782
2020-03-26,TX,202009,After-Hours,9120,9272,9049,9160,78,0.86,30,,,9154,9160,11739,7782
2020-03-26,TX,202012,Regular,9083,9083,8840,9035,46,0.51,29,9025,714,9020,9030,11688,7655
2020-03-26,TX,202012,After-Hours,9066,9171,8947,9065,76,0.85,33,,,9063,9071,11688,7655
2020-03-26,TX,202103,Regular,8974,8974,8751,8925,35,0.39,86,8925,100,8941,8950,9090,7591
2020-03-26,TX,202103,After-Hours,9006,9090,8863,9009,119,1.34,44,,,8975,8991,9090,7591
2020-03-27,TX,202004,Regular,9899,9910,9548,9583,-48,-0.5,187676,9579,80664,9583,9584,12103,8268
2020-03-27,TX,202004,After-Hours,9573,9881,9525,9879,248,2.58,108619,,,9876,9878,12103,8268
2020-03-27,TX,202005,Regular,9844,9844,9486,9527,-38,-0.4,1322,9518,5900,9518,9521,11776,8212
2020-03-27,TX,202005,After-Hours,9510,9814,9465,9814,249,2.6,986,,,9809,9814,11776,8212
2020-03-27,TX,202006,Regular,9750,9764,9425,9446,-49,-0.52,221,9446,5322,9444,9448,12115,8150
2020-03-27,TX,202006,After-Hours,9414,9736,9394,9736,241,2.54,134,,,9731,9735,12115,8150
2020-03-27,TX,202009,Regular,9388,9388,9040,9065,-44,-0.48,38,9053,1032,9059,9066,11739,7782
2020-03-27,TX,202009,After-Hours,9053,9321,9020,9321,212,2.33,32,,,9340,9354,11739,7782
2020-03-27,TX,202012,Regular,9237,9237,8948,8990,-35,-0.39,47,8964,742,8961,8968,11688,7655
2020-03-27,TX,202012,After-Hours,8948,9226,8948,9226,201,2.23,9,,,9245,9261,11688,7655
2020-03-27,TX,202103,Regular,9499,9499,8847,8847,-78,-0.87,55,8881,109,8878,8884,9499,7591
2020-03-27,TX,202103,After-Hours,8966,9090,8966,9090,165,1.85,39,,,9158,9181,9090,7591
2020-03-30,TX,202004,Regular,9376,9576,9266,9576,-3,-0.03,164970,9566,82356,9571,9576,12103,8268
2020-03-30,TX,202004,After-Hours,9613,9621,9377,9406,-173,-1.81,96416,,,9406,9410,12103,8268
2020-03-30,TX,202005,Regular,9289,9506,9206,9504,-14,-0.15,1341,9500,6511,9503,9510,11776,8212
2020-03-30,TX,202005,After-Hours,9550,9550,9318,9344,-174,-1.83,558,,,9341,9348,11776,8212
2020-03-30,TX,202006,Regular,9235,9431,9130,9431,-15,-0.16,168,9431,5402,9431,9438,12115,8150
2020-03-30,TX,202006,After-Hours,9459,9459,9253,9265,-181,-1.92,55,,,9266,9274,12115,8150
2020-03-30,TX,202009,Regular,8853,9040,8800,9040,-13,-0.14,52,9039,1049,9039,9050,11739,7782
2020-03-30,TX,202009,After-Hours,9070,9070,8870,8953,-100,-1.1,24,,,8882,8890,11739,7782
2020-03-30,TX,202012,Regular,8755,8943,8650,8943,-21,-0.23,43,8943,751,8940,8949,11688,7655
2020-03-30,TX,202012,After-Hours,8951,8951,8778,8784,-180,-2.01,16,,,8785,8793,11688,7655
2020-03-30,TX,202103,Regular,8671,8840,8586,8840,-41,-0.46,36,8840,125,8857,8866,9499,7591
2020-03-30,TX,202103,After-Hours,8870,8877,8751,8756,-125,-1.41,11,,,8703,8712,9499,7591
2020-03-31,TX,202004,Regular,9666,9717,9495,9596,30,0.31,142747,9595,83397,9593,9596,12103,8268
2020-03-31,TX,202004,After-Hours,9533,9680,9450,9654,88,0.92,75100,,,9652,9653,12103,8268
2020-03-31,TX,202005,Regular,9597,9649,9430,9530,30,0.32,1130,9529,6899,9525,9530,11776,8212
2020-03-31,TX,202005,After-Hours,9472,9609,9388,9595,95,1,447,,,9584,9588,11776,8212
2020-03-31,TX,202006,Regular,9525,9568,9360,9455,24,0.25,189,9455,5488,9454,9459,12115,8150
2020-03-31,TX,202006,After-Hours,9366,9522,9323,9522,91,0.96,46,,,9512,9515,12115,8150
2020-03-31,TX,202009,Regular,9139,9182,8988,9065,26,0.29,45,9065,1056,9064,9071,11739,7782
2020-03-31,TX,202009,After-Hours,9000,9122,8940,9116,77,0.85,22,,,9119,9126,11739,7782
2020-03-31,TX,202012,Regular,9035,9073,8891,8963,20,0.22,13,8963,753,8966,8972,11688,7655
2020-03-31,TX,202012,After-Hours,8870,8988,8847,8988,45,0.5,12,,,9020,9026,11688,7655
2020-03-31,TX,202103,Regular,8948,8987,8803,8870,30,0.34,23,8870,127,8877,8885,9499,7591
2020-03-31,TX,202103,After-Hours,8782,8868,8782,8868,28,0.32,4,,,8936,8942,9499,7591
2020-04-01,TX,202004,Regular,9588,9650,9551,9552,-43,-0.45,116273,9555,83725,9551,9552,12103,8268
2020-04-01,TX,202004,After-Hours,9630,9665,9551,9575,-20,-0.21,73771,,,9573,9576,12103,8268
2020-04-01,TX,202005,Regular,9523,9580,9484,9486,-43,-0.45,1266,9486,6435,9483,9485,11776,8212
2020-04-01,TX,202005,After-Hours,9565,9595,9486,9526,-3,-0.03,452,,,9506,9511,11776,8212
2020-04-01,TX,202006,Regular,9452,9508,9415,9419,-36,-0.38,106,9419,5547,9411,9414,12115,8150
2020-04-01,TX,202006,After-Hours,9506,9520,9427,9436,-19,-0.2,56,,,9434,9440,12115,8150
2020-04-01,TX,202009,Regular,9060,9105,9026,9030,-35,-0.39,30,9026,1059,9022,9027,11739,7782
2020-04-01,TX,202009,After-Hours,9115,9132,9060,9060,-5,-0.06,22,,,9044,9051,11739,7782
2020-04-01,TX,202012,Regular,8987,9015,8950,8950,-13,-0.15,12,8925,751,8923,8927,11688,7655
2020-04-01,TX,202012,After-Hours,9007,9007,8977,8977,14,0.16,2,,,8946,8953,11688,7655
2020-04-01,TX,202103,Regular,8902,8904,8851,8851,-19,-0.21,11,8836,130,8834,8839,9499,7591
2020-04-01,TX,202103,After-Hours,8896,8896,8896,8896,26,0.29,1,,,8857,8864,9499,7591
2020-04-06,TX,202004,Regular,9741,9860,9582,9826,271,2.84,146380,9823,82196,9825,9826,12103,8268
2020-04-06,TX,202004,After-Hours,9500,9530,9422,9464,-91,-0.95,56001,,,9464,9465,12103,8268
2020-04-06,TX,202005,Regular,9661,9767,9527,9764,278,2.93,2121,9764,7593,9767,9770,11776,8212
2020-04-06,TX,202005,After-Hours,9436,9462,9358,9395,-91,-0.96,348,,,9396,9400,11776,8212
2020-04-06,TX,202006,Regular,9588,9700,9467,9700,281,2.98,261,9700,5700,9701,9704,12115,8150
2020-04-06,TX,202006,After-Hours,9368,9388,9295,9323,-96,-1.02,63,,,9325,9328,12115,8150
2020-04-06,TX,202009,Regular,9199,9333,9089,9318,292,3.24,63,9318,1062,9316,9321,11739,7782
2020-04-06,TX,202009,After-Hours,8995,8995,8917,8917,-109,-1.21,16,,,8938,8942,11739,7782
2020-04-06,TX,202012,Regular,9100,9215,8992,9215,290,3.25,47,9215,748,9213,9219,11688,7655
2020-04-06,TX,202012,After-Hours,8888,8888,8800,8800,-125,-1.4,11,,,8838,8843,11688,7655
2020-04-06,TX,202103,Regular,9011,9119,8900,9119,283,3.2,31,9119,124,9123,9131,9499,7591
2020-04-06,TX,202103,After-Hours,8800,8800,8720,8720,-116,-1.31,9,,,8750,8754,9499,7591
2020-04-07,TX,202004,Regular,9955,10020,9878,9997,174,1.77,137022,9998,81049,9996,9998,12103,8268
2020-04-07,TX,202004,After-Hours,9813,9987,9792,9962,139,1.42,50130,,,9963,9966,12103,8268
2020-04-07,TX,202005,Regular,9912,9967,9828,9943,179,1.83,2376,9943,8385,9941,9944,11776,8212
2020-04-07,TX,202005,After-Hours,9738,9928,9738,9908,144,1.47,520,,,9905,9911,11776,8212
2020-04-07,TX,202006,Regular,9842,9901,9768,9880,180,1.86,235,9880,5722,9878,9883,12115,8150
2020-04-07,TX,202006,After-Hours,9699,9862,9684,9839,139,1.43,85,,,9839,9846,12115,8150
2020-04-07,TX,202009,Regular,9470,9509,9400,9498,180,1.93,143,9498,1061,9494,9500,11739,7782
2020-04-07,TX,202009,After-Hours,9336,9427,9313,9427,109,1.17,19,,,9456,9464,11739,7782
2020-04-07,TX,202012,Regular,9350,9405,9286,9405,190,2.06,38,9405,736,9398,9404,11688,7655
2020-04-07,TX,202012,After-Hours,9206,9350,9203,9350,135,1.47,45,,,9356,9369,11688,7655
2020-04-07,TX,202103,Regular,9288,9317,9192,9300,181,1.98,27,9300,130,9302,9308,9499,7591
2020-04-07,TX,202103,After-Hours,9110,9259,9106,9258,139,1.52,28,,,9261,9272,9499,7591
2020-04-08,TX,202004,Regular,9950,10135,9945,10127,129,1.29,130314,10122,80878,10126,10128,12103,8268
2020-04-08,TX,202004,After-Hours,10085,10184,9985,9994,-4,-0.04,85741,,,9991,9994,12103,8268
2020-04-08,TX,202005,Regular,9893,10082,9893,10075,132,1.33,5443,10073,11476,10072,10076,11776,8212
2020-04-08,TX,202005,After-Hours,10037,10128,9933,9937,-6,-0.06,982,,,9937,9942,11776,8212
2020-04-08,TX,202006,Regular,9815,10021,9815,9998,118,1.19,353,10019,6014,10017,10021,12115,8150
2020-04-08,TX,202006,After-Hours,9967,10065,9884,9884,4,0.04,205,,,9873,9879,12115,8150
2020-04-08,TX,202009,Regular,9452,9631,9452,9630,132,1.39,41,9627,1076,9627,9631,11739,7782
2020-04-08,TX,202009,After-Hours,9585,9670,9490,9490,-8,-0.08,34,,,9489,9496,11739,7782
