date,scenario,equity,net_pnl,return_pct
2023-07-24,conservative_4x_margin,2519309.0240000016,1624846.7079999996,2.207672157608695
2023-07-25,conservative_4x_margin,2559909.0240000016,1665446.7079999996,2.262835201086956
2023-07-26,conservative_4x_margin,2543509.0240000016,1649046.7079999996,2.2405525923913037
2023-07-27,conservative_4x_margin,2568109.0240000016,1673646.7079999996,2.2739765054347822
2023-07-28,conservative_4x_margin,2575909.0240000016,1681446.7079999996,2.2845743315217386
2023-07-31,conservative_4x_margin,2544109.0240000016,1649646.7079999996,2.2413678097826084
2023-08-01,conservative_4x_margin,2559109.0240000016,1664646.7079999996,2.261748244565217
2023-08-02,conservative_4x_margin,2487509.0240000016,1593046.7079999996,2.164465635869565
2023-08-04,conservative_4x_margin,2488109.0240000016,1593646.7079999996,2.165280853260869
2023-08-07,conservative_4x_margin,2523509.0240000016,1629046.7079999996,2.2133786793478256
2023-08-08,conservative_4x_margin,2493909.0240000016,1599446.7079999996,2.173161288043478
2023-08-09,conservative_4x_margin,2494109.0240000016,1599646.7079999996,2.1734330271739126
2023-08-10,conservative_4x_margin,2454709.0240000016,1560246.7079999996,2.1199004184782604
2023-08-11,conservative_4x_margin,2448509.0240000016,1554046.7079999996,2.111476505434782
2023-08-14,conservative_4x_margin,2398909.0240000016,1504446.7079999996,2.044085201086956
2023-08-15,conservative_4x_margin,2407477.8240000014,1513015.5079999997,2.055727592391304
2023-08-16,conservative_4x_margin,2402077.8240000014,1507615.5079999997,2.048390635869565
2023-08-17,conservative_4x_margin,2418677.8240000014,1524215.5079999997,2.070944983695652
2023-08-18,conservative_4x_margin,2398077.8240000014,1503615.5079999997,2.042955853260869
2023-08-21,conservative_4x_margin,2397077.8240000014,1502615.5079999997,2.0415971576086953
2023-08-22,conservative_4x_margin,2407477.8240000014,1513015.5079999997,2.055727592391304
2023-08-23,conservative_4x_margin,2439077.8240000014,1544615.5079999997,2.0986623749999995
2023-08-24,conservative_4x_margin,2478677.8240000014,1584215.5079999997,2.1524667228260865
2023-08-25,conservative_4x_margin,2412677.8240000014,1518215.5079999997,2.0627928097826085
2023-08-28,conservative_4x_margin,2425877.8240000014,1531415.5079999997,2.080727592391304
2023-08-29,conservative_4x_margin,2452277.8240000014,1557815.5079999997,2.116597157608695
2023-08-30,conservative_4x_margin,2472077.8240000014,1577615.5079999997,2.1434993315217388
2023-08-31,conservative_4x_margin,2451477.8240000014,1557015.5079999997,2.115510201086956
2023-09-01,conservative_4x_margin,2457677.8240000014,1563215.5079999997,2.123934114130434
2023-09-04,conservative_4x_margin,2483077.8240000014,1588615.5079999997,2.158444983695652
2023-09-05,conservative_4x_margin,2477877.8240000014,1583415.5079999997,2.1513797663043475
2023-09-06,conservative_4x_margin,2470077.8240000014,1575615.5079999997,2.1407819402173907
2023-09-07,conservative_4x_margin,2440077.8240000014,1545615.5079999997,2.1000210706521734
2023-09-08,conservative_4x_margin,2439877.8240000014,1545415.5079999997,2.0997493315217386
2023-09-11,conservative_4x_margin,2412477.8240000014,1518015.5079999997,2.0625210706521733
2023-09-12,conservative_4x_margin,2441477.8240000014,1547015.5079999997,2.101923244565217
2023-09-13,conservative_4x_margin,2443277.8240000014,1548815.5079999997,2.10436889673913
2023-09-14,conservative_4x_margin,2494677.8240000014,1600215.5079999997,2.1742058532608692
2023-09-15,conservative_4x_margin,2508277.8240000014,1613815.5079999997,2.1926841141304343
2023-09-18,conservative_4x_margin,2469877.8240000014,1575415.5079999997,2.140510201086956
2023-09-19,conservative_4x_margin,2448044.8560000015,1553582.5399999996,2.1108458423913037
2023-09-20,conservative_4x_margin,2436844.8560000015,1542382.5399999996,2.095628451086956
2023-09-21,conservative_4x_margin,2386044.8560000015,1491582.5399999996,2.026606711956521
2023-09-22,conservative_4x_margin,2392644.8560000015,1498182.5399999996,2.035574103260869
2023-09-25,conservative_4x_margin,2416844.8560000015,1522382.5399999996,2.068454538043478
2023-09-26,conservative_4x_margin,2384844.8560000015,1490382.5399999996,2.0249762771739124
2023-09-27,conservative_4x_margin,2386044.8560000015,1491582.5399999996,2.026606711956521
2023-09-28,conservative_4x_margin,2397244.8560000015,1502782.5399999996,2.041824103260869
2023-10-02,conservative_4x_margin,2435044.8560000015,1540582.5399999996,2.093182798913043
2023-10-03,conservative_4x_margin,2406044.8560000015,1511582.5399999996,2.0537806249999995
2023-10-04,conservative_4x_margin,2372844.8560000015,1478382.5399999996,2.0086719293478255
2023-10-05,conservative_4x_margin,2415244.8560000015,1520782.5399999996,2.066280624999999
2023-10-06,conservative_4x_margin,2429444.8560000015,1534982.5399999996,2.085574103260869
2023-10-11,conservative_4x_margin,2466644.8560000015,1572182.5399999996,2.1361175815217384
2023-10-12,conservative_4x_margin,2493444.8560000015,1598982.5399999996,2.1725306249999994
2023-10-13,conservative_4x_margin,2478044.8560000015,1583582.5399999996,2.151606711956521
2023-10-16,conservative_4x_margin,2453644.8560000015,1559182.5399999996,2.1184545380434776
2023-10-17,conservative_4x_margin,2453211.4640000015,1558749.1479999996,2.117865690217391
2023-10-18,conservative_4x_margin,2412011.4640000015,1517549.1479999996,2.0618874293478253
2023-10-19,conservative_4x_margin,2410611.4640000015,1516149.1479999996,2.059985255434782
2023-10-20,conservative_4x_margin,2401211.4640000015,1506749.1479999996,2.0472135163043474
2023-10-23,conservative_4x_margin,2369611.4640000015,1475149.1479999996,2.0042787336956516
2023-10-24,conservative_4x_margin,2385011.4640000015,1490549.1479999996,2.02520264673913
2023-10-25,conservative_4x_margin,2390011.4640000015,1495549.1479999996,2.0319961249999996
2023-10-26,conservative_4x_margin,2331611.4640000015,1437149.1479999996,1.952648298913043
2023-10-27,conservative_4x_margin,2348811.4640000015,1454349.1479999996,1.9760178641304342
2023-10-30,conservative_4x_margin,2350411.4640000015,1455949.1479999996,1.9781917771739124
2023-10-31,conservative_4x_margin,2317811.4640000015,1423349.1479999996,1.9338982989130429
2023-11-01,conservative_4x_margin,2328411.4640000015,1433949.1479999996,1.9483004728260864
2023-11-02,conservative_4x_margin,2396211.4640000015,1501749.1479999996,2.040420038043478
2023-11-03,conservative_4x_margin,2421211.4640000015,1526749.1479999996,2.0743874293478255
2023-11-06,conservative_4x_margin,2453011.4640000015,1558549.1479999996,2.117593951086956
2023-11-07,conservative_4x_margin,2460011.4640000015,1565549.1479999996,2.1271048206521734
2023-11-08,conservative_4x_margin,2468811.4640000015,1574349.1479999996,2.1390613423913036
2023-11-09,conservative_4x_margin,2471011.4640000015,1576549.1479999996,2.1420504728260865
2023-11-10,conservative_4x_margin,2464811.4640000015,1570349.1479999996,2.1336265597826083
2023-11-13,conservative_4x_margin,2493211.4640000015,1598749.1479999996,2.1722135163043474
2023-11-14,conservative_4x_margin,2507375.7200000016,1612913.4039999996,2.1914584293478256
2023-11-15,conservative_4x_margin,2545575.7200000016,1651113.4039999996,2.2433606032608693
2023-11-16,conservative_4x_margin,2550975.7200000016,1656513.4039999996,2.250697559782608
2023-11-17,conservative_4x_margin,2557575.7200000016,1663113.4039999996,2.259664951086956
2023-11-20,conservative_4x_margin,2553975.7200000016,1659513.4039999996,2.25477364673913
2023-11-21,conservative_4x_margin,2595975.7200000016,1701513.4039999996,2.311838864130434
2023-11-22,conservative_4x_margin,2571575.7200000016,1677113.4039999996,2.278686690217391
2023-11-23,conservative_4x_margin,2574575.7200000016,1680113.4039999996,2.2827627771739127
2023-11-24,conservative_4x_margin,2572375.7200000016,1677913.4039999996,2.27977364673913
2023-11-27,conservative_4x_margin,2548175.7200000016,1653713.4039999996,2.2468932119565213
2023-11-28,conservative_4x_margin,2585775.7200000016,1691313.4039999996,2.2979801684782606
2023-11-29,conservative_4x_margin,2581575.7200000016,1687113.4039999996,2.29227364673913
2023-11-30,conservative_4x_margin,2592375.7200000016,1697913.4039999996,2.3069475597826083
2023-12-01,conservative_4x_margin,2598575.7200000016,1704113.4039999996,2.3153714728260866
2023-12-04,conservative_4x_margin,2597375.7200000016,1702913.4039999996,2.313741038043478
2023-12-05,conservative_4x_margin,2575575.7200000016,1681113.4039999996,2.2841214728260866
2023-12-06,conservative_4x_margin,2589175.7200000016,1694713.4039999996,2.3025997336956516
2023-12-07,conservative_4x_margin,2567975.7200000016,1673513.4039999996,2.2737953858695645
2023-12-08,conservative_4x_margin,2588775.7200000016,1694313.4039999996,2.302056255434782
2023-12-11,conservative_4x_margin,2597375.7200000016,1702913.4039999996,2.313741038043478
2023-12-12,conservative_4x_margin,2606175.7200000016,1711713.4039999996,2.325697559782608
2023-12-13,conservative_4x_margin,2605175.7200000016,1710713.4039999996,2.3243388641304343
2023-12-14,conservative_4x_margin,2646375.7200000016,1751913.4039999996,2.3803171249999995
2023-12-15,conservative_4x_margin,2648375.7200000016,1753913.4039999996,2.383034516304347
2023-12-18,conservative_4x_margin,2644975.7200000016,1750513.4039999996,2.378414951086956
2023-12-19,conservative_4x_margin,2628535.2080000015,1734072.8919999995,2.3560772989130427
2023-12-20,conservative_4x_margin,2648335.2080000015,1753872.8919999995,2.3829794728260865
2023-12-21,conservative_4x_margin,2621535.2080000015,1727072.8919999995,2.3465664293478254
2023-12-22,conservative_4x_margin,2627735.2080000015,1733272.8919999995,2.3549903423913037
2023-12-25,conservative_4x_margin,2640135.2080000015,1745672.8919999995,2.37183816847826
2023-12-26,conservative_4x_margin,2662535.2080000015,1768072.8919999995,2.402272951086956
2023-12-27,conservative_4x_margin,2687535.2080000015,1793072.8919999995,2.4362403423913035
2023-12-28,conservative_4x_margin,2688935.2080000015,1794472.8919999995,2.4381425163043473
2023-12-29,conservative_4x_margin,2689735.2080000015,1795272.8919999995,2.4392294728260864
2024-01-02,conservative_4x_margin,2675735.2080000015,1781272.8919999995,2.4202077336956513
2024-01-03,conservative_4x_margin,2624735.2080000015,1730272.8919999995,2.350914255434782
2024-01-04,conservative_4x_margin,2625735.2080000015,1731272.8919999995,2.352272951086956
2024-01-05,conservative_4x_margin,2619335.2080000015,1724872.8919999995,2.343577298913043
2024-01-08,conservative_4x_margin,2634735.2080000015,1740272.8919999995,2.364501211956521
2024-01-09,conservative_4x_margin,2625135.2080000015,1730672.8919999995,2.3514577336956517
2024-01-10,conservative_4x_margin,2607735.2080000015,1713272.8919999995,2.3278164293478256
2024-01-11,conservative_4x_margin,2629735.2080000015,1735272.8919999995,2.3577077336956513
2024-01-12,conservative_4x_margin,2613135.2080000015,1718672.8919999995,2.335153385869565
2024-01-15,conservative_4x_margin,2626535.2080000015,1732072.8919999995,2.353359907608695
2024-01-16,conservative_4x_margin,2581696.3120000013,1687233.9959999996,2.292437494565217
2024-01-17,conservative_4x_margin,2556296.3120000013,1661833.9959999996,2.2579266249999996
2024-01-18,conservative_4x_margin,2565696.3120000013,1671233.9959999996,2.270698364130434
2024-01-19,conservative_4x_margin,2644096.3120000013,1749633.9959999996,2.377220103260869
2024-01-22,conservative_4x_margin,2672296.3120000013,1777833.9959999996,2.4155353206521735
2024-01-23,conservative_4x_margin,2682896.3120000013,1788433.9959999996,2.429937494565217
2024-01-24,conservative_4x_margin,2688496.3120000013,1794033.9959999996,2.437546190217391
2024-01-25,conservative_4x_margin,2708696.3120000013,1814233.9959999996,2.4649918423913038
2024-01-26,conservative_4x_margin,2709096.3120000013,1814633.9959999996,2.4655353206521733
2024-01-29,conservative_4x_margin,2733896.3120000013,1839433.9959999996,2.499230972826086
2024-01-30,conservative_4x_margin,2725496.3120000013,1831033.9959999996,2.4878179293478255
2024-01-31,conservative_4x_margin,2693496.3120000013,1799033.9959999996,2.44433966847826
2024-02-01,conservative_4x_margin,2706296.3120000013,1811833.9959999996,2.4617309728260865
2024-02-02,conservative_4x_margin,2726096.3120000013,1831633.9959999996,2.48863314673913
2024-02-05,conservative_4x_margin,2726296.3120000013,1831833.9959999996,2.4889048858695646
2024-02-15,conservative_4x_margin,2842496.3120000013,1948033.9959999996,2.646785320652173
2024-02-16,conservative_4x_margin,2837096.3120000013,1942633.9959999996,2.639448364130434
2024-02-19,conservative_4x_margin,2843096.3120000013,1948633.9959999996,2.6476005380434775
2024-02-20,conservative_4x_margin,2858846.2320000012,1964383.9159999995,2.6689998858695647
2024-02-21,conservative_4x_margin,2845446.2320000012,1950983.9159999995,2.650793364130434
2024-02-22,conservative_4x_margin,2884046.2320000012,1989583.9159999995,2.703239016304347
2024-02-23,conservative_4x_margin,2889246.2320000012,1994783.9159999995,2.7103042336956515
2024-02-26,conservative_4x_margin,2899646.2320000012,2005183.9159999995,2.7244346684782603
2024-02-27,conservative_4x_margin,2880846.2320000012,1986383.9159999995,2.6988911902173904
2024-02-29,conservative_4x_margin,2899046.2320000012,2004583.9159999995,2.723619451086956
2024-03-01,conservative_4x_margin,2899046.2320000012,2004583.9159999995,2.723619451086956
2024-03-04,conservative_4x_margin,2969046.2320000012,2074583.9159999995,2.81872814673913
2024-03-05,conservative_4x_margin,2984846.2320000012,2090383.9159999995,2.840195538043478
2024-03-06,conservative_4x_margin,3008246.2320000012,2113783.9159999993,2.871989016304347
2024-03-07,conservative_4x_margin,3047246.2320000012,2152783.9159999993,2.9249781467391296
2024-03-08,conservative_4x_margin,3065646.2320000012,2171183.9159999993,2.9499781467391295
2024-03-11,conservative_4x_margin,3050046.2320000012,2155583.9159999993,2.9287824945652163
2024-03-12,conservative_4x_margin,3097646.2320000012,2203183.9159999993,2.9934564076086945
2024-03-13,conservative_4x_margin,3092446.2320000012,2197983.9159999993,2.9863911902173905
2024-03-14,conservative_4x_margin,3094846.2320000012,2200383.9159999993,2.9896520597826077
2024-03-15,conservative_4x_margin,3052446.2320000012,2157983.9159999993,2.932043364130434
2024-03-18,conservative_4x_margin,3089646.2320000012,2195183.9159999993,2.9825868423913033
2024-03-19,conservative_4x_margin,3079587.152000001,2185124.835999999,2.9689196141304337
2024-03-20,conservative_4x_margin,3069187.152000001,2174724.835999999,2.954789179347825
2024-03-21,conservative_4x_margin,3154587.152000001,2260124.835999999,3.070821788043477
2024-03-22,conservative_4x_margin,3150587.152000001,2256124.835999999,3.0653870054347814
2024-03-25,conservative_4x_margin,3148387.152000001,2253924.835999999,3.062397874999999
2024-03-26,conservative_4x_margin,3139587.152000001,2245124.835999999,3.0504413532608683
2024-03-27,conservative_4x_margin,3154187.152000001,2259724.835999999,3.0702783097826076
2024-03-28,conservative_4x_margin,3142987.152000001,2248524.835999999,3.05506091847826
2024-03-29,conservative_4x_margin,3158187.152000001,2263724.835999999,3.0757130923913034
2024-04-01,conservative_4x_margin,3161187.152000001,2266724.835999999,3.079789179347825
2024-04-02,conservative_4x_margin,3206787.152000001,2312324.835999999,3.1417457010869554
2024-04-03,conservative_4x_margin,3172787.152000001,2278324.835999999,3.0955500489130423
2024-04-08,conservative_4x_margin,3191987.152000001,2297524.835999999,3.1216370054347817
2024-04-09,conservative_4x_margin,3276387.152000001,2381924.835999999,3.2363109184782597
2024-04-10,conservative_4x_margin,3272187.152000001,2377724.835999999,3.230604396739129
2024-04-11,conservative_4x_margin,3252987.152000001,2358524.835999999,3.20451744021739
2024-04-12,conservative_4x_margin,3253187.152000001,2358724.835999999,3.204789179347825
2024-04-15,conservative_4x_margin,3203787.152000001,2309324.835999999,3.137669614130434
2024-04-16,conservative_4x_margin,3091327.296000001,2196864.979999999,2.984870896739129
2024-04-17,conservative_4x_margin,3132727.296000001,2238264.979999999,3.041120896739129
2024-04-18,conservative_4x_margin,3165527.296000001,2271064.979999999,3.0856861141304335
2024-04-19,conservative_4x_margin,3006727.296000001,2112264.979999999,2.869925244565216
2024-04-22,conservative_4x_margin,3000527.296000001,2106064.979999999,2.8615013315217377
2024-04-23,conservative_4x_margin,3030927.296000001,2136464.979999999,2.902805679347825
2024-04-24,conservative_4x_margin,3128927.296000001,2234464.979999999,3.0359578532608684
2024-04-25,conservative_4x_margin,3070927.296000001,2176464.979999999,2.9571535054347815
2024-04-26,conservative_4x_margin,3130127.296000001,2235664.979999999,3.037588288043477
2024-04-29,conservative_4x_margin,3204927.296000001,2310464.979999999,3.1392187228260857
2024-04-30,conservative_4x_margin,3177527.296000001,2283064.979999999,3.1019904619565204
2024-05-02,conservative_4x_margin,3153327.296000001,2258864.979999999,3.069110027173912
2024-05-03,conservative_4x_margin,3171327.296000001,2276864.979999999,3.093566548913042
2024-05-06,conservative_4x_margin,3215127.296000001,2320664.979999999,3.1530774184782597
2024-05-07,conservative_4x_margin,3224527.296000001,2330064.979999999,3.1658491576086942
2024-05-08,conservative_4x_margin,3239727.296000001,2345264.979999999,3.186501331521738
2024-05-09,conservative_4x_margin,3217327.296000001,2322864.979999999,3.156066548913042
2024-05-10,conservative_4x_margin,3257327.296000001,2362864.979999999,3.2104143749999987
2024-05-13,conservative_4x_margin,3271127.296000001,2376664.979999999,3.2291643749999985
2024-05-14,conservative_4x_margin,3295459.224000001,2400996.907999999,3.262224059782607
2024-05-15,conservative_4x_margin,3342259.224000001,2447796.907999999,3.325811016304346
2024-05-16,conservative_4x_margin,3368059.224000001,2473596.907999999,3.3608653641304334
2024-05-17,conservative_4x_margin,3360659.224000001,2466196.907999999,3.3508110163043465
2024-05-20,conservative_4x_margin,3353459.224000001,2458996.907999999,3.341028407608694
2024-05-21,conservative_4x_margin,3350059.224000001,2455596.907999999,3.336408842391303
2024-05-22,conservative_4x_margin,3409859.224000001,2515396.907999999,3.417658842391303
2024-05-23,conservative_4x_margin,3414659.224000001,2520196.907999999,3.4241805815217377
2024-05-24,conservative_4x_margin,3407259.224000001,2512796.907999999,3.414126233695651
2024-05-27,conservative_4x_margin,3467659.224000001,2573196.907999999,3.496191451086955
2024-05-28,conservative_4x_margin,3483859.224000001,2589396.907999999,3.5182023206521724
2024-05-29,conservative_4x_margin,3439659.224000001,2545196.907999999,3.4581479728260853
2024-05-30,conservative_4x_margin,3372659.224000001,2478196.907999999,3.3671153641304334
2024-05-31,conservative_4x_margin,3351259.224000001,2456796.907999999,3.3380392771739116
2024-06-03,conservative_4x_margin,3424659.224000001,2530196.907999999,3.437767538043477
2024-06-04,conservative_4x_margin,3359059.224000001,2464596.907999999,3.348637103260868
2024-06-05,conservative_4x_margin,3385659.224000001,2491196.907999999,3.384778407608694
2024-06-06,conservative_4x_margin,3468259.224000001,2573796.907999999,3.4970066684782593
2024-06-07,conservative_4x_margin,3472459.224000001,2577996.907999999,3.50271319021739
2024-06-11,conservative_4x_margin,3453859.224000001,2559396.907999999,3.477441451086955
2024-06-12,conservative_4x_margin,3502859.224000001,2608396.907999999,3.5440175380434766
2024-06-13,conservative_4x_margin,3558659.224000001,2664196.907999999,3.619832755434781
2024-06-14,conservative_4x_margin,3595659.224000001,2701196.907999999,3.6701044945652157
2024-06-17,conservative_4x_margin,3589059.224000001,2694596.907999999,3.661137103260868
2024-06-18,conservative_4x_margin,3650177.8480000007,2755715.5319999987,3.74417871195652
2024-06-19,conservative_4x_margin,3742777.8480000007,2848315.5319999987,3.8699939293478245
2024-06-20,conservative_4x_margin,3791177.8480000007,2896715.5319999987,3.9357547989130417
2024-06-21,conservative_4x_margin,3757177.8480000007,2862715.5319999987,3.8895591467391286
2024-06-24,conservative_4x_margin,3666577.8480000007,2772115.5319999987,3.766461320652172
2024-06-25,conservative_4x_margin,3665177.8480000007,2770715.5319999987,3.7645591467391286
2024-06-26,conservative_4x_margin,3690977.8480000007,2796515.5319999987,3.799613494565216
2024-06-27,conservative_4x_margin,3675177.8480000007,2780715.5319999987,3.778146103260868
2024-06-28,conservative_4x_margin,3711777.8480000007,2817315.5319999987,3.827874364130433
2024-07-01,conservative_4x_margin,3714377.8480000007,2819915.5319999987,3.8314069728260853
2024-07-02,conservative_4x_margin,3682777.8480000007,2788315.5319999987,3.7884721902173895
2024-07-03,conservative_4x_margin,3752377.8480000007,2857915.5319999987,3.8830374076086938
2024-07-04,conservative_4x_margin,3839977.8480000007,2945515.5319999987,4.002059146739128
2024-07-05,conservative_4x_margin,3829977.8480000007,2935515.5319999987,3.9884721902173896
