roll_method,stop_scenario,cost_scenario,leverage_scenario,held_days,return_pct,sharpe,max_dd_pct,margin_calls,injected_capital
oi,trail_5pct,medium,moderate_2x_margin,14,-38.53,-3.72,42.63,0,0.00
oi,trail_5pct,medium,conservative_4x_margin,14,-19.27,-3.72,21.32,0,0.00
oi,trail_5pct,high,aggressive_1.2x_margin,14,-65.03,-3.76,71.26,1,106791.13
oi,trail_5pct,high,moderate_2x_margin,14,-39.02,-3.76,42.76,0,0.00
oi,trail_5pct,high,conservative_4x_margin,14,-19.51,-3.76,21.38,0,0.00
oi,trail_10pct,low,aggressive_1.2x_margin,34,-71.86,-2.27,78.86,1,104335.64
oi,trail_10pct,low,moderate_2x_margin,34,-43.12,-2.27,47.32,0,0.00
oi,trail_10pct,low,conservative_4x_margin,34,-21.56,-2.27,23.66,0,0.00
oi,trail_10pct,medium,aggressive_1.2x_margin,34,-72.18,-2.28,79.03,1,104695.64
oi,trail_10pct,medium,moderate_2x_margin,34,-43.31,-2.28,47.42,0,0.00
oi,trail_10pct,medium,conservative_4x_margin,34,-21.66,-2.28,23.71,0,0.00
oi,trail_10pct,high,aggressive_1.2x_margin,34,-73.41,-2.31,79.64,1,106045.64
oi,trail_10pct,high,moderate_2x_margin,34,-44.04,-2.31,47.78,0,0.00
oi,trail_10pct,high,conservative_4x_margin,34,-22.02,-2.31,23.89,0,0.00
oi,trail_15pct,low,aggressive_1.2x_margin,42,-112.80,-2.89,119.80,2,186688.68
oi,trail_15pct,low,moderate_2x_margin,42,-67.68,-2.89,71.88,1,65061.97
oi,trail_15pct,low,conservative_4x_margin,42,-33.84,-2.89,35.94,0,0.00
oi,trail_15pct,medium,aggressive_1.2x_margin,42,-113.13,-2.90,119.97,2,187288.68
oi,trail_15pct,medium,moderate_2x_margin,42,-67.88,-2.90,71.98,1,65781.97
oi,trail_15pct,medium,conservative_4x_margin,42,-33.94,-2.90,35.99,0,0.00
oi,trail_15pct,high,aggressive_1.2x_margin,42,-114.35,-2.93,120.58,2,189538.68
oi,trail_15pct,high,moderate_2x_margin,42,-68.61,-2.93,72.35,1,68481.97
oi,trail_15pct,high,conservative_4x_margin,42,-34.30,-2.93,36.17,0,0.00
