date,daily_points,cumulative_points
2021-11-24,21,7411.9103000000005
2021-11-25,-7,7404.9103000000005
2021-11-26,-331,7073.9103000000005
2021-11-29,-31,7042.9103000000005
2021-11-30,19,7061.9103000000005
2021-12-01,254,7315.9103000000005
2021-12-02,120,7435.9103000000005
2021-12-03,2,7437.9103000000005
2021-12-06,-14,7423.9103000000005
2021-12-07,103,7526.9103000000005
2021-12-08,58,7584.9103000000005
2021-12-09,57,7641.9103000000005
2021-12-10,-92,7549.9103000000005
2021-12-13,-65,7484.9103000000005
2021-12-14,-154.20172,7330.70858
2021-12-15,55,7385.70858
2021-12-16,206,7591.70858
2021-12-17,-19,7572.70858
2021-12-20,-203,7369.70858
2021-12-21,214,7583.70858
2021-12-22,36,7619.70858
2021-12-23,119,7738.70858
2021-12-24,6,7744.70858
2021-12-27,113,7857.70858
2021-12-28,136,7993.70858
2021-12-29,68,8061.70858
2021-12-30,-65,7996.70858
2022-01-03,63,8059.70858
2022-01-04,242,8301.70858
2022-01-05,-34,8267.70858
2022-01-06,-143,8124.70858
2022-01-07,-191,7933.70858
2022-01-10,114,8047.70858
2022-01-11,19,8066.70858
2022-01-12,97,8163.70858
2022-01-13,49,8212.70858
2022-01-14,-65,8147.70858
2022-01-17,148,8295.70858
2022-01-18,-161.23248,8134.476100000001
2022-01-19,-166,7968.476100000001
2022-01-20,78,8046.476100000001
2022-01-21,-328,7718.476100000001
2022-01-24,61,7779.476100000001
2022-01-25,-283,7496.476100000001
2022-01-26,-50,7446.476100000001
2022-02-07,272,7718.476100000001
2022-02-08,46,7764.476100000001
2022-02-09,222,7986.476100000001
2022-02-10,170,8156.476100000001
2022-02-11,-61,8095.476100000001
2022-02-14,-296,7799.476100000001
2022-02-15,-25.2168,7774.259300000001
2022-02-16,295,8069.259300000001
2022-02-17,29,8098.259300000001
2022-02-18,-17,8081.259300000001
2022-02-21,-15,8066.259300000001
2022-02-22,-332,7734.259300000001
2022-02-23,162,7896.259300000001
2022-02-24,-529,7367.259300000001
2022-02-25,97,7464.259300000001
2022-03-01,302,7766.259300000001
2022-03-02,-74,7692.259300000001
2022-03-03,91,7783.259300000001
2022-03-04,-261,7522.259300000001
2022-03-07,-610,6912.259300000001
2022-03-08,-351,6561.259300000001
2022-03-09,242,6803.259300000001
2022-03-10,487,7290.259300000001
2022-03-11,-210,7080.259300000001
2022-03-14,14,7094.259300000001
2022-03-15,-358.1732,6736.0861
2022-03-16,102,6838.0861
2022-03-17,512,7350.0861
2022-03-18,-51,7299.0861
2022-03-21,98,7397.0861
2022-03-22,31,7428.0861
2022-03-23,177,7605.0861
2022-03-24,-30,7575.0861
2022-03-25,-48,7527.0861
2022-03-28,-184,7343.0861
2022-03-29,109,7452.0861
2022-03-30,194,7646.0861
2022-03-31,-106,7540.0861
2022-04-01,-77,7463.0861
2022-04-06,-52,7411.0861
2022-04-07,-363,7048.0861
2022-04-08,162,7210.0861
2022-04-11,-267,6943.0861
2022-04-12,-37,6906.0861
2022-04-13,316,7222.0861
2022-04-14,-21,7201.0861
2022-04-15,-315,6886.0861
2022-04-18,-96,6790.0861
2022-04-19,116.82108,6906.90718
2022-04-20,99,7005.90718
2022-04-21,54,7059.90718
2022-04-22,-134,6925.90718
2022-04-25,-420,6505.90718
